target_param,epoch,train_mae,valid_mae,minutes,lr,minutes:
inf,0,0.3026479145534691,0.3104797279642474,,0.002,4.70800230105718
inf,1,0.18162310908167995,0.2470779433365791,,0.002,8.840816760063172
inf,2,0.1587202965763993,0.21241926041341594,,0.002,13.492125415802002
inf,3,0.1386720742922781,0.18866063245842532,,0.002,18.289825157324472
inf,4,0.13236783791364473,0.18887574273732394,,0.002,23.083652687072753
inf,5,0.12665906485416248,0.19638741112524466,,0.002,27.848544375101728
inf,6,0.12187612259842935,0.16116926963290862,,0.002,32.65273001194
inf,7,0.11822729720719118,0.1826571204489278,,0.002,37.43657364447912
inf,8,0.1151091329098665,0.1531908025424326,,0.002,42.23750701745351
inf,9,0.1116759853295363,0.1553803916660048,,0.002,46.53369676272074
inf,10,0.11348651365793395,0.14970989212874444,,0.002,50.65383228460948
inf,11,0.1041294483610114,0.1552248902378544,,0.002,54.77373416423798
inf,12,0.1019880755244728,0.14913305435930527,,0.002,59.07005302906036
inf,13,0.10445168614865437,0.14751796568593672,,0.002,63.26061856746674
inf,14,0.09808726254145707,0.14587898684605474,,0.002,68.09062434037527
inf,15,0.09960657284571764,0.1440891492510995,,0.002,72.87589085102081
inf,16,0.09885270051978337,0.14847222655530906,,0.002,77.44257462024689
inf,17,0.09402774301112037,0.13174493070090967,,0.002,81.564728530248
inf,18,0.09259033552953418,0.13907913527181076,,0.002,85.68452344735464
inf,19,0.09157649351187122,0.14366422485440009,,0.002,90.06955835024515
inf,20,0.09267723500594784,0.13548737007283396,,0.002,94.57710300286611
inf,21,0.08951126387422867,0.1314908429499595,,0.002,98.8697834531466
inf,22,0.08787445953884067,0.12324065090187132,,0.002,103.6204964518547
inf,23,0.08937110041218597,0.12168518405768175,,0.002,108.47698234319687
inf,24,0.08631721802289992,0.12378218349429868,,0.002,113.30620659589769
inf,25,0.08714947398367266,0.13731037969550774,,0.002,118.18228751023614
inf,26,0.08548006299235568,0.12321627704847245,,0.002,122.9915201703707
inf,27,0.08589989902252104,0.11968657025887125,,0.002,127.74200573762259
inf,28,0.08384301895759612,0.14106313019029554,,0.002,131.89079456329347
inf,29,0.08478507304694356,0.13965896144509315,,0.002,136.04276355107626
inf,30,0.083285863271713,0.11354976159430318,,0.002,140.275328095754
inf,31,0.091813220195066,0.13081051397227472,,0.002,144.4222582936287
inf,32,0.08293296147264502,0.1129127152023777,,0.002,149.1450890302658
inf,33,0.0817368245749919,0.12405993993724547,,0.002,153.96786657174428
inf,34,0.07970701906211164,0.11060906874556696,,0.002,158.81637259721757
inf,35,0.08127024190797864,0.13112638926794454,,0.002,163.67508552074432
inf,36,0.07829829144833406,0.10961663903247926,,0.002,168.54781947533291
inf,37,0.07983150383107453,0.10769895452164836,,0.002,172.9251572887103
inf,38,0.08420931962704017,0.10877982743324772,,0.002,177.06006760994597
inf,39,0.07945508578693042,0.1054176259185038,,0.002,181.21360530853272
inf,40,0.08363398347788302,0.13098361174906453,,0.002,185.69797054131826
inf,41,0.07799772542110996,0.10713381296203983,,0.002,190.5261490662893
inf,42,0.07589462356232099,0.1069644868614212,,0.002,195.3216877818108
inf,43,0.0761756697613471,0.11065709242416967,,0.002,199.6033928990364
inf,44,0.07549390052711084,0.10666923260977194,,0.002,203.73373676935836
inf,45,0.07638088907661772,0.10592680220161717,,0.002,207.85901877085368
inf,46,0.0763843270034229,0.10478689990216687,,0.002,212.24110950628918
inf,47,0.0742237288349519,0.11050083776635508,,0.002,217.04253176053365
inf,48,0.07529139164847166,0.11395444733000573,,0.002,221.89051070213318
inf,49,0.07446805905309375,0.12145602378633714,,0.002,226.70307718912758
inf,50,0.07653344030933475,0.10670833794340012,,0.002,231.51812934875488
inf,51,0.07364523793123241,0.1066482990018783,,0.002,236.33225059906638
inf,52,0.07259451818961306,0.10467024892568587,,0.002,241.0705442547798
inf,53,0.07462324385099328,0.10709327651608376,,0.002,245.8085246880849
inf,54,0.07370532251956582,0.10196696822681732,,0.002,250.4979813814163
inf,55,0.07433890273186386,0.1106745553833823,,0.002,255.32834639151886
inf,56,0.07089455532551646,0.10656294503038932,,0.002,260.1604440530141
inf,57,0.07463730645627062,0.1184096275077712,,0.002,264.96769454876585
inf,58,0.07107082462849877,0.10312105583087088,,0.002,269.7831562638283
inf,59,0.07159371442753516,0.10289504174743927,,0.002,274.5539589285851
inf,60,0.07092581325431059,0.10029744537126636,,0.002,279.35771880149844
inf,61,0.07295006402243091,0.1268852170436613,,0.002,284.1650431195895
