"","epoch","variable","MAE","experiment_name"
"124",123,"training",0.0337259875160839,"with direction vectors"
"125",124,"training",0.0337856496220882,"with direction vectors"
"126",125,"training",0.033572933675834,"with direction vectors"
"127",126,"training",0.0334558421202276,"with direction vectors"
"128",127,"training",0.0333745843104211,"with direction vectors"
"129",128,"training",0.0336512304445808,"with direction vectors"
"130",129,"training",0.0333885947249946,"with direction vectors"
"131",130,"training",0.0331845076315413,"with direction vectors"
"132",131,"training",0.033400869306423,"with direction vectors"
"133",132,"training",0.0328752912783281,"with direction vectors"
"134",133,"training",0.0329138000107631,"with direction vectors"
"135",134,"training",0.0330275233774447,"with direction vectors"
"136",135,"training",0.0326577796922749,"with direction vectors"
"137",136,"training",0.0325939042960856,"with direction vectors"
"138",137,"training",0.0325449256300894,"with direction vectors"
"139",138,"training",0.0324408838114016,"with direction vectors"
"140",139,"training",0.0327774116405825,"with direction vectors"
"141",140,"training",0.0321946150810642,"with direction vectors"
"142",141,"training",0.032218129950563,"with direction vectors"
"143",142,"training",0.0321508103805187,"with direction vectors"
"144",143,"training",0.0320225291337235,"with direction vectors"
"145",144,"training",0.0320100140878729,"with direction vectors"
"146",145,"training",0.0318448331823537,"with direction vectors"
"147",146,"training",0.0327153662532275,"with direction vectors"
"148",147,"training",0.0317468116434659,"with direction vectors"
"149",148,"training",0.0315705855736047,"with direction vectors"
"150",149,"training",0.0316602280751741,"with direction vectors"
"151",0,"validation",0.33681884023451,"with direction vectors"
"152",1,"validation",0.251971420661737,"with direction vectors"
"153",2,"validation",0.200364185997876,"with direction vectors"
"154",3,"validation",0.204765307406584,"with direction vectors"
"155",4,"validation",0.221279580666814,"with direction vectors"
"156",5,"validation",0.16316243709736,"with direction vectors"
"157",6,"validation",0.160954617925229,"with direction vectors"
"158",7,"validation",0.15791400273641,"with direction vectors"
"159",8,"validation",0.155269793445064,"with direction vectors"
"160",9,"validation",0.138552353386917,"with direction vectors"
"161",10,"validation",0.141863400497103,"with direction vectors"
"162",11,"validation",0.184838076993342,"with direction vectors"
"163",12,"validation",0.131351085479862,"with direction vectors"
"164",13,"validation",0.122726794372323,"with direction vectors"
"165",14,"validation",0.119532923304266,"with direction vectors"
"166",15,"validation",0.114984667950099,"with direction vectors"
"167",16,"validation",0.1096758017697,"with direction vectors"
"168",17,"validation",0.109401711933715,"with direction vectors"
"169",18,"validation",0.110404523149613,"with direction vectors"
"170",19,"validation",0.123307663186263,"with direction vectors"
"171",20,"validation",0.0987385388824247,"with direction vectors"
"172",21,"validation",0.0954902737691838,"with direction vectors"
"173",22,"validation",0.094314511304581,"with direction vectors"
"174",23,"validation",0.0976621465336892,"with direction vectors"
"175",24,"validation",0.101581672707232,"with direction vectors"
"176",25,"validation",0.094340309580808,"with direction vectors"
"177",26,"validation",0.0926665066070454,"with direction vectors"
"178",27,"validation",0.0904276554863299,"with direction vectors"
"179",28,"validation",0.0879607664881855,"with direction vectors"
"180",29,"validation",0.0862041760676651,"with direction vectors"
"181",30,"validation",0.0853715093145447,"with direction vectors"
"182",31,"validation",0.083986557118835,"with direction vectors"
"183",32,"validation",0.0868894729002189,"with direction vectors"
"184",33,"validation",0.0797078976387619,"with direction vectors"
"185",34,"validation",0.0850040261303225,"with direction vectors"
"186",35,"validation",0.0850013480271383,"with direction vectors"
"187",36,"validation",0.0822011843844447,"with direction vectors"
"188",37,"validation",0.0821256589104411,"with direction vectors"
"189",38,"validation",0.0782433494484873,"with direction vectors"
"190",39,"validation",0.0782373723203457,"with direction vectors"
"191",40,"validation",0.077308547993501,"with direction vectors"
"192",41,"validation",0.0757839199636252,"with direction vectors"
"193",42,"validation",0.0752071219706728,"with direction vectors"
"194",43,"validation",0.074733293545182,"with direction vectors"
"195",44,"validation",0.0744281201873736,"with direction vectors"
"196",45,"validation",0.0771471727439152,"with direction vectors"
"197",46,"validation",0.0753002617788571,"with direction vectors"
"198",47,"validation",0.0733452251441376,"with direction vectors"
"199",48,"validation",0.0728043514674389,"with direction vectors"
"200",49,"validation",0.0763815654421686,"with direction vectors"
"201",50,"validation",0.103819828480482,"with direction vectors"
"202",51,"validation",0.0709232412358766,"with direction vectors"
"203",52,"validation",0.0706827317274386,"with direction vectors"
"204",53,"validation",0.071900870530836,"with direction vectors"
"205",54,"validation",0.0702232238385947,"with direction vectors"
"206",55,"validation",0.0700001140796049,"with direction vectors"
"207",56,"validation",0.0726173027989364,"with direction vectors"
"208",57,"validation",0.071714044318244,"with direction vectors"
"209",58,"validation",0.0689995794967618,"with direction vectors"
"210",59,"validation",0.0672374514121843,"with direction vectors"
"211",60,"validation",0.0689671902807169,"with direction vectors"
"212",61,"validation",0.0672484453046514,"with direction vectors"
"213",62,"validation",0.0679291705450704,"with direction vectors"
"214",63,"validation",0.0661428002139894,"with direction vectors"
"215",64,"validation",0.0675148522701635,"with direction vectors"
"216",65,"validation",0.0659968416577065,"with direction vectors"
"217",66,"validation",0.0660452201802244,"with direction vectors"
"218",67,"validation",0.0666103930643169,"with direction vectors"
"219",68,"validation",0.0671196049379726,"with direction vectors"
"220",69,"validation",0.0655664864486905,"with direction vectors"
"221",70,"validation",0.0676249157316903,"with direction vectors"
"222",71,"validation",0.0660218955768693,"with direction vectors"
"223",72,"validation",0.0640814523663252,"with direction vectors"
"224",73,"validation",0.0635911385298416,"with direction vectors"
"225",74,"validation",0.066799225906531,"with direction vectors"
"226",75,"validation",0.0650950825863308,"with direction vectors"
"227",76,"validation",0.0646883493028982,"with direction vectors"
"228",77,"validation",0.0634039880167092,"with direction vectors"
"229",78,"validation",0.0652210699414374,"with direction vectors"
"230",79,"validation",0.0656680895155796,"with direction vectors"
"231",80,"validation",0.0634021237091992,"with direction vectors"
"232",81,"validation",0.0643246464871912,"with direction vectors"
"233",82,"validation",0.0642984900222991,"with direction vectors"
"234",83,"validation",0.0624216065531777,"with direction vectors"
"235",84,"validation",0.064330926585582,"with direction vectors"
"236",85,"validation",0.062394012286458,"with direction vectors"
"237",86,"validation",0.0616952820370594,"with direction vectors"
"238",87,"validation",0.0622066044478968,"with direction vectors"
"239",88,"validation",0.062966455935791,"with direction vectors"
"240",89,"validation",0.0629652411706986,"with direction vectors"
"241",90,"validation",0.0611170189034554,"with direction vectors"
"242",91,"validation",0.0612055745216147,"with direction vectors"
"243",92,"validation",0.0615969207538392,"with direction vectors"
"244",93,"validation",0.0615086586925612,"with direction vectors"
"245",94,"validation",0.0621531653588497,"with direction vectors"
"246",95,"validation",0.0615874122107221,"with direction vectors"
"247",96,"validation",0.0620461118717988,"with direction vectors"
"248",97,"validation",0.0615400278400029,"with direction vectors"
"249",98,"validation",0.0629879515417801,"with direction vectors"
"250",99,"validation",0.0611982217999876,"with direction vectors"
"251",100,"validation",0.0603062530118291,"with direction vectors"
"252",101,"validation",0.0601983802212823,"with direction vectors"
"253",102,"validation",0.060801639872533,"with direction vectors"
"254",103,"validation",0.0592178095492625,"with direction vectors"
"255",104,"validation",0.0596019807922584,"with direction vectors"
"256",105,"validation",0.0605927323421804,"with direction vectors"
"257",106,"validation",0.0599764097401852,"with direction vectors"
"258",107,"validation",0.0588527586791784,"with direction vectors"
"259",108,"validation",0.0592595548118635,"with direction vectors"
"260",109,"validation",0.0601311921472511,"with direction vectors"
"261",110,"validation",0.112809791239679,"with direction vectors"
"262",111,"validation",0.05995456431742,"with direction vectors"
"263",112,"validation",0.0600818900731943,"with direction vectors"
"264",113,"validation",0.0596921915609029,"with direction vectors"
"265",114,"validation",0.0585509365805054,"with direction vectors"
"266",115,"validation",0.0579663227682793,"with direction vectors"
"267",116,"validation",0.0584330264959604,"with direction vectors"
"268",117,"validation",0.0584638473247328,"with direction vectors"
"269",118,"validation",0.0581976633759276,"with direction vectors"
"270",119,"validation",0.0575482713919814,"with direction vectors"
"271",120,"validation",0.0568479825892756,"with direction vectors"
"272",121,"validation",0.0582340610043336,"with direction vectors"
"273",122,"validation",0.0577674873613863,"with direction vectors"
"274",123,"validation",0.0575845169644522,"with direction vectors"
"275",124,"validation",0.0572238309929768,"with direction vectors"
"276",125,"validation",0.0568865189749387,"with direction vectors"
"277",126,"validation",0.0572277337152471,"with direction vectors"
"278",127,"validation",0.0569659646960997,"with direction vectors"
"279",128,"validation",0.0577606140806149,"with direction vectors"
"280",129,"validation",0.0566619414515713,"with direction vectors"
"281",130,"validation",0.0575626841596057,"with direction vectors"
"282",131,"validation",0.0561273826826965,"with direction vectors"
"283",132,"validation",0.0592113006860018,"with direction vectors"
"284",133,"validation",0.0574762890495921,"with direction vectors"
"285",134,"validation",0.0582037797017443,"with direction vectors"
"286",135,"validation",0.0570661830565622,"with direction vectors"
"287",136,"validation",0.0563785548532202,"with direction vectors"
"288",137,"validation",0.0563171759488121,"with direction vectors"
"289",138,"validation",0.0678204643910611,"with direction vectors"
"290",139,"validation",0.0559543047140363,"with direction vectors"
"291",140,"validation",0.056125337878863,"with direction vectors"
"292",141,"validation",0.0567938732884584,"with direction vectors"
"293",142,"validation",0.0558567460506193,"with direction vectors"
"294",143,"validation",0.0561259240112318,"with direction vectors"
"295",144,"validation",0.055919325339698,"with direction vectors"
"296",145,"validation",0.0577526860019212,"with direction vectors"
"297",146,"validation",0.0558471606984254,"with direction vectors"
"298",147,"validation",0.0565947592458738,"with direction vectors"
"299",148,"validation",0.0562199757744868,"with direction vectors"
"300",149,"validation",0.0559104524592879,"with direction vectors"
"301",0,"training",0.334969692032562,"only distance"
"302",1,"training",0.19455889339551,"only distance"
"303",2,"training",0.156454189499908,"only distance"
"304",3,"training",0.139098544679749,"only distance"
"305",4,"training",0.127259928982419,"only distance"
"306",5,"training",0.119243783726954,"only distance"
"307",6,"training",0.112065977237916,"only distance"
"308",7,"training",0.107679695598279,"only distance"
"309",8,"training",0.101095632456206,"only distance"
"310",9,"training",0.0966628924337162,"only distance"
"311",10,"training",0.0921968163965043,"only distance"
"312",11,"training",0.0897653433562969,"only distance"
"313",12,"training",0.0851840464924362,"only distance"
"314",13,"training",0.0826852367679124,"only distance"
"315",14,"training",0.0800813822705368,"only distance"
"316",15,"training",0.0780480601799929,"only distance"
"317",16,"training",0.0767558775372247,"only distance"
"318",17,"training",0.0738402178771086,"only distance"
"319",18,"training",0.0721529807488404,"only distance"
"320",19,"training",0.071232997899748,"only distance"
"321",20,"training",0.0689391756742103,"only distance"
"322",21,"training",0.0678824372374529,"only distance"
"323",22,"training",0.0663463911696749,"only distance"
"324",23,"training",0.065096609694264,"only distance"
"325",24,"training",0.0638366930739528,"only distance"
"326",25,"training",0.0636627297646945,"only distance"
"327",26,"training",0.0619879665937667,"only distance"
"328",27,"training",0.0611710977267258,"only distance"
"329",28,"training",0.0604676467979632,"only distance"
"330",29,"training",0.0597891155650263,"only distance"
"331",30,"training",0.059151937994331,"only distance"
"332",31,"training",0.057802255745911,"only distance"
"333",32,"training",0.0575701942755379,"only distance"
"334",33,"training",0.0566464397018412,"only distance"
"335",34,"training",0.0559722553291062,"only distance"
"336",35,"training",0.0564330015558513,"only distance"
"337",36,"training",0.0549520877884295,"only distance"
"338",37,"training",0.0539236717381704,"only distance"
"339",38,"training",0.0537038407240104,"only distance"
"340",39,"training",0.0530358759372923,"only distance"
"341",40,"training",0.0524090472660578,"only distance"
"342",41,"training",0.0521940698081328,"only distance"
"343",42,"training",0.0520515472878878,"only distance"
"344",43,"training",0.0509589622042132,"only distance"
"345",44,"training",0.0509145081892326,"only distance"
"346",45,"training",0.0501186948174821,"only distance"
"347",46,"training",0.0506085922325463,"only distance"
"348",47,"training",0.0500140169996634,"only distance"
"349",48,"training",0.048911268203361,"only distance"
"350",49,"training",0.0487706336740987,"only distance"
"351",50,"training",0.04854122625681,"only distance"
"352",51,"training",0.0483069184308114,"only distance"
"353",52,"training",0.0478412856745917,"only distance"
"354",53,"training",0.0487951551748629,"only distance"
"355",54,"training",0.0471135376649317,"only distance"
"356",55,"training",0.0468227665011945,"only distance"
"357",56,"training",0.046374084178246,"only distance"
"358",57,"training",0.0464222497030574,"only distance"
"359",58,"training",0.04609231976842,"only distance"
"360",59,"training",0.0454896355813669,"only distance"
"361",60,"training",0.0455062241222401,"only distance"
"362",61,"training",0.0451234601930291,"only distance"
"363",62,"training",0.0458036169635961,"only distance"
"364",63,"training",0.0444220864684542,"only distance"
"365",64,"training",0.0446062957725006,"only distance"
"366",65,"training",0.0443862183985291,"only distance"
"367",66,"training",0.0441305992409176,"only distance"
"368",67,"training",0.0438253553199901,"only distance"
"369",68,"training",0.043348607312277,"only distance"
"370",69,"training",0.0431704833738781,"only distance"
"371",70,"training",0.0443806800730837,"only distance"
"372",71,"training",0.0425147408432741,"only distance"
"373",72,"training",0.0423483767713782,"only distance"
"374",73,"training",0.0425599137879072,"only distance"
"375",74,"training",0.0428603388909119,"only distance"
"376",75,"training",0.0422589917859767,"only distance"
"377",76,"training",0.0415637973976366,"only distance"
"378",77,"training",0.0421456877633639,"only distance"
"379",78,"training",0.0431169652628362,"only distance"
"380",79,"training",0.0423974644254135,"only distance"
"381",80,"training",0.041719923867998,"only distance"
"382",81,"training",0.0410977662627593,"only distance"
"383",82,"training",0.0408962346527383,"only distance"
"384",83,"training",0.0405621690843283,"only distance"
"385",84,"training",0.0405989668527385,"only distance"
"386",85,"training",0.0419568759555494,"only distance"
"387",86,"training",0.0404068968341038,"only distance"
"388",87,"training",0.040188380365529,"only distance"
"389",88,"training",0.0402772751080639,"only distance"
"390",89,"training",0.0399946330295609,"only distance"
"391",90,"training",0.039688220037347,"only distance"
"392",91,"training",0.0393632702148697,"only distance"
"393",92,"training",0.0395323048169118,"only distance"
"394",93,"training",0.0393086896875946,"only distance"
"395",94,"training",0.0389750419295679,"only distance"
"396",95,"training",0.0390140437050102,"only distance"
"397",96,"training",0.0387250548979334,"only distance"
"398",97,"training",0.0390247838200891,"only distance"
"399",98,"training",0.0382903293762831,"only distance"
"400",99,"training",0.0391634682626303,"only distance"
"401",100,"training",0.0383181414031876,"only distance"
"402",101,"training",0.0381058550760172,"only distance"
"403",102,"training",0.0381270162151879,"only distance"
"404",103,"training",0.037756650620402,"only distance"
"405",104,"training",0.0376129296060866,"only distance"
"406",105,"training",0.0398972879649993,"only distance"
"407",106,"training",0.0381743149676173,"only distance"
"408",107,"training",0.0378193281338444,"only distance"
