target_param,epoch,train_mae,valid_mae,minutes,lr,minutes:
inf,68,0.0551809422275132,0.08552154273756088,,1.5625e-05,296.02340001265213
inf,69,0.05517715470407776,0.08553653522845239,,1.5625e-05,300.3168428103129
inf,70,0.05508114046741558,0.08552205178045458,,7.8125e-06,304.9111591935158
inf,71,0.05506927581925735,0.08543937989780978,,7.8125e-06,309.4980692744255
inf,72,0.055065477879824264,0.08550467378189489,,7.8125e-06,314.1058513879776
inf,73,0.05505518028614146,0.08551900461316105,,7.8125e-06,318.7004268844923
inf,74,0.055052106054242884,0.08546028009826143,,7.8125e-06,323.07639039754866
inf,75,0.055046136769979215,0.08546184135540838,,7.8125e-06,327.25651649634045
inf,76,0.05499814065308277,0.08545838560788864,,3.90625e-06,331.8426624298096
inf,77,0.054990826567695834,0.08547941403042884,,3.90625e-06,336.43220876852666
inf,78,0.05499019000423574,0.0854627193222123,,3.90625e-06,341.0359448472658
inf,79,0.054987249151589083,0.08543290618446568,,3.90625e-06,345.6168257713318
inf,80,0.05498424784601158,0.08544582885599905,,3.90625e-06,350.2173103928566
inf,81,0.054981684337314506,0.08541304173488773,,3.90625e-06,354.8381794293721
inf,82,0.05495524743358002,0.08542785637321011,,1.953125e-06,359.4217571616173
inf,83,0.054951712183267214,0.08542999769410778,,1.953125e-06,364.0033185879389
inf,84,0.05495037339661195,0.08543886340433553,,1.953125e-06,368.6143030246099
inf,85,0.0549487865543695,0.08543387764403895,,1.953125e-06,373.23282594283415
inf,86,0.054947682253113236,0.08542840711532101,,1.953125e-06,377.8196870048841
inf,87,0.05494664952330968,0.08542371433108087,,1.953125e-06,382.4344593842824
inf,88,0.0549328740736359,0.08542474599615223,,9.765625e-07,386.8549293756485
inf,89,0.05493195797481013,0.08543103680975975,,9.765625e-07,391.4451500852903
inf,90,0.054931006467805014,0.08542557240974519,,9.765625e-07,396.0370980183283
inf,91,0.05493039333376842,0.08543115589887866,,9.765625e-07,400.6442551493645
inf,92,0.0549293516838184,0.08543019128903265,,9.765625e-07,405.242849055926
inf,93,0.054928983384271324,0.08542282470772343,,9.765625e-07,409.83107518752416
inf,94,0.0549211478466556,0.08542279178096403,,4.8828125e-07,414.4395150581996
inf,95,0.05492054948713478,0.08542611678281135,,4.8828125e-07,419.03467898368837
inf,96,0.0549205442229817,0.0854242123182743,,4.8828125e-07,423.61182326873137
inf,97,0.05491962453745878,0.08542912693754319,,4.8828125e-07,428.2094134728114
inf,98,0.054919599139055836,0.08542527510754527,,4.8828125e-07,432.717667166392
inf,99,0.05491928202103078,0.08542078793529544,,4.8828125e-07,437.30349962711335
inf,100,0.054915469491076514,0.08541848798913339,,2.44140625e-07,441.9022426684698
inf,101,0.05491504545076832,0.08542153034960069,,2.44140625e-07,446.5040074110031
inf,102,0.05491489975344602,0.08541972358380594,,2.44140625e-07,451.095110197862
inf,103,0.05491474774296349,0.08542282903386697,,2.44140625e-07,455.1847394824028
inf,104,0.054914588308185235,0.08541915541695007,,2.44140625e-07,459.0919938961665
inf,105,0.05491427907802643,0.08542167503506906,,2.44140625e-07,462.99298346837367
inf,106,0.054912112968674515,0.0854218062614241,,1.220703125e-07,466.90121402740476
inf,107,0.05491202797757413,0.08542485426991211,,1.220703125e-07,470.7987143278122
inf,108,0.05491209888712496,0.08542023154516375,,1.220703125e-07,475.1645988623301
inf,109,0.054911912326307384,0.08542175554940777,,1.220703125e-07,479.4624990582465
inf,110,0.0549117037219983,0.0854215496970761,,1.220703125e-07,483.36433831850684
inf,111,0.05491172437477836,0.08542112188954509,,1.220703125e-07,487.26234411398565
inf,112,0.05491061936621864,0.0854204843842214,,6.103515625e-08,491.16741762161257
inf,113,0.05491058952088464,0.08542101686039279,,6.103515625e-08,495.0636249383289
inf,114,0.05491052570348373,0.08542047489073967,,6.103515625e-08,499.49145884513854
inf,115,0.054910451675585406,0.08541995959897195,,6.103515625e-08,504.0942720015844
inf,116,0.05491047552795721,0.08542030136431421,,6.103515625e-08,508.6731596946717
inf,117,0.054910394708990916,0.08542078781512477,,6.103515625e-08,513.2966143647831
inf,118,0.05490979118089865,0.08542072124058196,,3.0517578125e-08,517.9087762355805
inf,119,0.05490978681521205,0.08542081088789044,,3.0517578125e-08,522.5153636892636
inf,120,0.054909723556963184,0.08542072676843211,,3.0517578125e-08,527.1194389780362
inf,121,0.054909745160779386,0.08542097071486136,,3.0517578125e-08,531.7490390340487
inf,122,0.054909686753293364,0.08542127763071372,,3.0517578125e-08,536.3469890515008
inf,123,0.054909701750036025,0.08542059001422699,,3.0517578125e-08,540.9361361225447
inf,124,0.054909425629320836,0.08542065983337742,,1.52587890625e-08,545.5197999914486
inf,125,0.05490941857779307,0.08542076390116447,,1.52587890625e-08,550.1016506393752
inf,126,0.05490940121301779,0.08542073818464438,,1.52587890625e-08,554.6990317106247
