target_param,epoch,train_mae,valid_mae,minutes,lr,minutes:
1.5,0,0.3302017238269077,0.3316670652999672,,0.001,3.778397198518117
1.5,1,0.19128566986574733,0.25138025146017795,,0.00099,7.51782382329305
1.5,2,0.15847520152358177,0.2182446602050976,,0.0009801,11.279616897635991
1.5,3,0.1413045038069087,0.19032558558448676,,0.000970299,15.086671622594197
1.5,4,0.1300461059924066,0.1818315227345754,,0.00096059601,18.917759491337673
1.5,5,0.12150641139983008,0.1727916503785759,,0.0009509900499,22.707258054945203
1.5,6,0.1144666667005713,0.1569075797514249,,0.000941480149401,26.51912222570843
1.5,7,0.10871692759143964,0.14209924990771924,,0.0009320653479069902,30.290422021018134
1.5,8,0.10292950603112931,0.14322950458654793,,0.0009227446944279199,34.09198888407813
1.5,9,0.09832805607795257,0.13223806215870768,,0.0009135172474836409,37.84643020364973
1.5,10,0.09444623754011494,0.12795403299312438,,0.0009043820750088043,41.60024984015359
1.5,11,0.090913562709854,0.12778683755827203,,0.000895338254258716,45.30685049692789
1.5,12,0.08790269618631291,0.12111182450767483,,0.0008863848717161291,49.03344642586179
1.5,13,0.08501813275015117,0.12296139036295234,,0.0008775210229989678,52.67333843045765
1.5,14,0.08256433991548441,0.11442694873098402,,0.0008687458127689781,56.492172847853766
1.5,15,0.08033800183426816,0.11311035927745605,,0.0008600583546412884,60.21925883690517
1.5,16,0.0781209462007473,0.11435472941206348,,0.0008514577710948754,63.99586328268051
1.5,17,0.07614398423979779,0.10732204198677053,,0.0008429431933839267,67.74337822728687
1.5,18,0.07464260653836975,0.10796915607586983,,0.0008345137614500872,71.47240774234136
1.5,19,0.07316314855418019,0.1021300271874474,,0.0008261686238355863,75.2163731402821
1.5,20,0.07127644046774677,0.10436866897088226,,0.0008179069375972306,79.02507522106173
1.5,21,0.07005881857439981,0.09919037469612653,,0.0008097278682212581,82.78528984917534
1.5,22,0.06887073288772234,0.09994456067841538,,0.0008016305895390457,86.58494461509916
1.5,23,0.06749632957624226,0.09729652242955343,,0.0007936142836436553,90.39269847604965
1.5,24,0.0666015486123217,0.1002114952331589,,0.0007856781408072188,94.21126667261125
1.5,25,0.06542231662882714,0.09516167300202512,,0.0007778213593991466,97.92724641031687
1.5,26,0.06451951331955412,0.09423274286491895,,0.0007700431458051549,101.63916763597068
1.5,27,0.0634902477175195,0.09497329845063147,,0.0007623427143471036,105.40820510784783
1.5,28,0.062452193865740115,0.09706050177575437,,0.0007547192872036326,109.18518352905909
1.5,29,0.061762908361700807,0.08995898917157162,,0.000747172094331596,112.88007655806013
1.5,30,0.06092658450658539,0.08793363059240002,,0.0007397003733882801,116.60961142910851
1.5,31,0.06005476012998012,0.09267681965263942,,0.0007323033696543972,120.3878939350446
1.5,32,0.05935885032540541,0.08804185792643537,,0.0007249803359578532,124.2279762890604
1.5,33,0.05866165793452455,0.08616117321916163,,0.0007177305325982747,127.96732218265534
1.5,34,0.05794582601102192,0.09131283477269192,,0.0007105532272722919,131.74013824860253
1.5,35,0.057402196073630264,0.0848629388918159,,0.000703447694999569,135.46902339855828
1.5,36,0.05673605357116552,0.0910320747042856,,0.0006964132180495732,139.13041383822758
1.5,37,0.056492407876111685,0.08743816858498,,0.0006894490858690775,142.7932797220018
